Numero,Sesso,Data di Nascita,Ora Nascita,Comune Nascita,Sigla Provincia o Stato Nascita,Comune Residenza,Sigla Provincia o Stato Residenza,Data Atto,Giorno Nascita,Giorno Settimana,Mese Nascita,Fascia Oraria
431,M,2024-09-18,11:39,Foggia,FG,San Severo,FG,2024-09-16,18,Mercoled ,Settembre,Mattina (06:00 - 11:59)
432,F,2024-08-06,Orario Non Disponibile,Moenchengladbach,GB,Melfi,PZ,2024-12-31,6,Marted ,Agosto,Non Disponibile
433,F,2024-09-20,13:46,Foggia,FG,Manfredonia,FG,2024-09-16,20,Venerd ,Settembre,Pomeriggio (12:00 - 17:59)
434,F,2024-09-20,09:24,Foggia,FG,Lissone,MB,2024-09-16,20,Venerd ,Settembre,Mattina (06:00 - 11:59)
435,M,2024-09-20,16:40,Foggia,FG,Torremaggiore,FG,2024-09-18,20,Venerd ,Settembre,Pomeriggio (12:00 - 17:59)
436,F,2024-09-22,08:28,Foggia,FG,Orta Nova,FG,2024-09-18,22,Domenica,Settembre,Mattina (06:00 - 11:59)
437,F,2024-09-20,14:55,Foggia,FG,Apricena,FG,2024-09-19,20,Venerd ,Settembre,Pomeriggio (12:00 - 17:59)
438,M,2024-09-23,08:21,Foggia,FG,San Severo,FG,2024-09-20,23,Luned ,Settembre,Mattina (06:00 - 11:59)
439,M,2024-09-22,14:39,Foggia,FG,Willich,DE,2024-09-20,22,Domenica,Settembre,Pomeriggio (12:00 - 17:59)
440,M,2024-09-24,11:17,Foggia,FG,Volturara Appula,FG,2024-09-23,24,Marted ,Settembre,Mattina (06:00 - 11:59)
441,F,2024-09-26,22:38,Foggia,FG,Deliceto,FG,2024-09-23,26,Gioved ,Settembre,Sera (18:00 - 23:59)
442,M,2024-09-26,13:26,Foggia,FG,Vieste,FG,2024-09-23,26,Gioved ,Settembre,Pomeriggio (12:00 - 17:59)
443,M,2024-09-26,09:09,Foggia,FG,Lucera,FG,2024-09-23,26,Gioved ,Settembre,Mattina (06:00 - 11:59)
444,F,2024-09-28,16:39,Foggia,FG,Manfredonia,FG,2024-09-23,28,Sabato,Settembre,Pomeriggio (12:00 - 17:59)
445,F,2024-09-28,18:32,Foggia,FG,Manfredonia,FG,2024-09-24,28,Sabato,Settembre,Sera (18:00 - 23:59)
446,M,2024-09-27,14:25,Foggia,FG,Vieste,FG,2024-09-25,27,Venerd ,Settembre,Pomeriggio (12:00 - 17:59)
447,M,2024-09-28,11:06,Foggia,FG,Lucera,FG,2024-09-25,28,Sabato,Settembre,Mattina (06:00 - 11:59)
448,F,2024-09-28,23:05,Foggia,FG,Lucera,FG,2024-09-27,28,Sabato,Settembre,Sera (18:00 - 23:59)
449,M,2024-09-27,20:01,Foggia,FG,Ordona,FG,2024-09-27,27,Venerd ,Settembre,Sera (18:00 - 23:59)
450,F,2024-09-27,00:31,Foggia,FG,Cerignola,FG,2024-09-27,27,Venerd ,Settembre,Notte (00:00 - 05:59)
451,M,2024-09-30,06:53,Foggia,FG,Stornarella,FG,2024-09-30,30,Luned ,Settembre,Mattina (06:00 - 11:59)
452,M,2024-09-30,09:49,Foggia,FG,Torremaggiore,FG,2024-09-30,30,Luned ,Settembre,Mattina (06:00 - 11:59)
453,F,2024-09-30,09:52,Foggia,FG,Troia,FG,2024-09-30,30,Luned ,Settembre,Mattina (06:00 - 11:59)
454,M,2024-09-30,11:26,Foggia,FG,Ciampino,RM,2024-09-30,30,Luned ,Settembre,Mattina (06:00 - 11:59)
455,M,2024-10-02,23:31,Foggia,FG,Manfredonia,FG,2024-09-30,2,Mercoled ,Ottobre,Sera (18:00 - 23:59)
456,M,2024-10-02,23:04,Foggia,FG,Tocco Caudio,BN,2024-09-30,2,Mercoled ,Ottobre,Sera (18:00 - 23:59)
457,M,2024-10-01,15:06,Foggia,FG,Deliceto,FG,2024-09-30,1,Marted ,Ottobre,Pomeriggio (12:00 - 17:59)
458,F,2024-10-01,13:10,Foggia,FG,Lucera,FG,2024-10-01,1,Marted ,Ottobre,Pomeriggio (12:00 - 17:59)
459,M,2024-10-03,13:27,Foggia,FG,Triggiano,BA,2024-10-01,3,Gioved ,Ottobre,Pomeriggio (12:00 - 17:59)
460,M,2024-10-02,17:08,Foggia,FG,Manfredonia,FG,2024-10-02,2,Mercoled ,Ottobre,Pomeriggio (12:00 - 17:59)
461,M,2024-10-06,07:47,Foggia,FG,Monte Sant'Angelo,FG,2024-10-02,6,Domenica,Ottobre,Mattina (06:00 - 11:59)
462,M,2024-10-06,15:52,Foggia,FG, Ordona,FG,2024-10-03,6,Domenica,Ottobre,Pomeriggio (12:00 - 17:59)
463,F,2024-10-05,17:56,Foggia,FG,Andria,BT,2024-10-03,5,Sabato,Ottobre,Pomeriggio (12:00 - 17:59)
464,M,2024-10-04,18:27,Foggia,FG,Cerignola,FG,2024-10-03,4,Venerd ,Ottobre,Sera (18:00 - 23:59)
465,M,2024-10-07,20:51,Foggia,FG,San Ferdinando Di Puglia,BT,2024-10-03,7,Luned ,Ottobre,Sera (18:00 - 23:59)
466,F,2024-10-07,14:47,Foggia,FG, Orta Nova,FG,2024-10-04,7,Luned ,Ottobre,Pomeriggio (12:00 - 17:59)
467,M,2024-10-06,00:09,Foggia,FG,Vico Del Gargano,FG,2024-10-04,6,Domenica,Ottobre,Notte (00:00 - 05:59)
468,F,2024-10-08,10:00,Foggia,FG,Castelluccio Dei Sauri,FG,2024-10-07,8,Marted ,Ottobre,Mattina (06:00 - 11:59)
469,F,2024-10-08,16:05,Foggia,FG, Carapelle,FG,2024-10-07,8,Marted ,Ottobre,Pomeriggio (12:00 - 17:59)
470,F,2024-10-06,10:30,Foggia,FG,Vieste,FG,2024-10-07,6,Domenica,Ottobre,Mattina (06:00 - 11:59)
471,M,2024-10-08,11:39,Foggia,FG,Candela,FG,2024-10-08,8,Marted ,Ottobre,Mattina (06:00 - 11:59)
472,F,2024-10-09,04:06,Foggia,FG,Deliceto,FG,2024-10-08,9,Mercoled ,Ottobre,Notte (00:00 - 05:59)
473,M,2024-10-10,00:13,Foggia,FG,Lucera,FG,2024-10-08,10,Gioved ,Ottobre,Notte (00:00 - 05:59)
474,F,2024-10-08,09:23,Foggia,FG,Ascoli Satriano,FG,2024-10-09,8,Marted ,Ottobre,Mattina (06:00 - 11:59)
475,M,2024-10-09,11:57,Foggia,FG,Serracapriola,FG,2024-10-09,9,Mercoled ,Ottobre,Mattina (06:00 - 11:59)
476,M,2024-10-13,19:09,Foggia,FG,Carapelle,FG,2024-10-09,13,Domenica,Ottobre,Sera (18:00 - 23:59)
477,F,2024-10-11,09:15,Foggia,FG,Non Disponibile,Non Disponibile,2024-10-09,11,Venerd ,Ottobre,Mattina (06:00 - 11:59)
478,F,2024-10-10,20:45,Foggia,FG,San Severo,FG,2024-10-09,10,Gioved ,Ottobre,Sera (18:00 - 23:59)
479,M,2024-10-11,12:22,Foggia,FG,Keur Massar Cite Gendarmerie,SN,2024-10-11,11,Venerd ,Ottobre,Pomeriggio (12:00 - 17:59)
480,M,2024-10-14,00:59,Foggia,FG, Orta Nova,FG,2024-10-11,14,Luned ,Ottobre,Notte (00:00 - 05:59)
481,M,2024-10-15,04:01,Foggia,FG,Manfredonia,FG,2024-10-11,15,Marted ,Ottobre,Notte (00:00 - 05:59)
482,F,2024-10-14,08:48,Foggia,FG,Vico Del Gargano,FG,2024-10-11,14,Luned ,Ottobre,Mattina (06:00 - 11:59)
483,F,2024-10-14,16:56,Foggia,FG,Lucera,FG,2024-10-14,14,Luned ,Ottobre,Pomeriggio (12:00 - 17:59)
484,F,2024-10-16,13:51,Foggia,FG,Cerignola,FG,2024-10-14,16,Mercoled ,Ottobre,Pomeriggio (12:00 - 17:59)
485,F,2024-10-15,03:38,Foggia,FG,Canosa Di Puglia,BT,2024-10-14,15,Marted ,Ottobre,Notte (00:00 - 05:59)
486,M,2024-10-15,11:03,Foggia,FG,Vico Del Gargano,FG,2024-10-15,15,Marted ,Ottobre,Mattina (06:00 - 11:59)
487,F,2024-10-16,23:36,Foggia,FG,Lucera,FG,2024-10-15,16,Mercoled ,Ottobre,Sera (18:00 - 23:59)
488,M,2024-10-16,10:34,Foggia,FG,Manfredonia,FG,2024-10-15,16,Mercoled ,Ottobre,Mattina (06:00 - 11:59)
489,F,2024-10-18,22:46,Foggia,FG,San Marco In Lamis,FG,2024-10-17,18,Venerd ,Ottobre,Sera (18:00 - 23:59)
490,F,2024-10-19,15:45,Foggia,FG,San Severo,FG,2024-10-17,19,Sabato,Ottobre,Pomeriggio (12:00 - 17:59)
491,M,2024-10-14,11:50,Foggia,FG,Orta Nova,FG,2024-10-17,14,Luned ,Ottobre,Mattina (06:00 - 11:59)
492,M,2024-10-21,11:29,Foggia,FG,Orta Nova,FG,2024-10-18,21,Luned ,Ottobre,Mattina (06:00 - 11:59)
493,M,2024-10-20,22:30,Foggia,FG,Lucera,FG,2024-10-18,20,Domenica,Ottobre,Sera (18:00 - 23:59)
